ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL",_wp_page_template,country_region,health_authority,date,product_type,domain,url,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
2628,"Innovation in medicines",,,"2024-06-27 16:11:51",regulatory,https://clinch.loc/regulatory/innovation-in-medicines/,,,,,,,,default,Europe,"European Medicines Agency",20240123,Drug,Regulatory,"https://www.ema.europa.eu/en/human-regulatory-overview/research-and-development/innovation-medicines#:https://www.raps.org:text=and%20with%20academia.-,Portfolio%20and%20technology%20meetings%20(new),-New%3A%20Pharmaceutical",publish,1,sagefrog,jillf@sagefrog.com,,,innovation-in-medicines,,default,0,0,0,open,open,"2024-06-27 16:11:51"
2629,"Questions and answers for marketing authorization holders/applicants on the CHMP Opinion for the Article 5(3) of Regulation (EC) No 726/2004 referral on nitrosamine impurities in human medicinal products",,,"2024-06-27 16:11:51",regulatory,https://clinch.loc/regulatory/questions-and-answers-for-marketing-authorization-holders-applicants-on-the-chmp-opinion-for-the-article-53-of-regulation-ec-no-726-2004-referral-on-nitrosamine-impurities-in-human-medicinal-produ/,,,,,,,,default,Europe,"European Medicines Agency",20240115,Drug,Safety,https://www.ema.europa.eu/en/documents/referral/nitrosamines-emea-h-a53-1490-questions-answers-marketing-authorisation-holders-applicants-chmp-opinion-article-53-regulation-ec-no-726-2004-referral-nitrosamine-impurities-human-medicinal-products_en.pdf,publish,1,sagefrog,jillf@sagefrog.com,,,questions-and-answers-for-marketing-authorization-holders-applicants-on-the-chmp-opinion-for-the-article-53-of-regulation-ec-no-726-2004-referral-on-nitrosamine-impurities-in-human-medicinal-produ,,default,0,0,0,open,open,"2024-06-27 16:11:51"
2630,"SOPP 8401: Administrative Processing of Original Biologics License Applications (BLA) and New Drug Applications (NDA)",,,"2024-06-27 16:11:51",regulatory,https://clinch.loc/regulatory/sopp-8401-administrative-processing-of-original-biologics-license-applications-bla-and-new-drug-applications-nda/,,,,,,,,default,USA,"Food and Drug Administration",20240108,Drug,Regulatory,https://www.fda.gov/media/85659/download,publish,1,sagefrog,jillf@sagefrog.com,,,sopp-8401-administrative-processing-of-original-biologics-license-applications-bla-and-new-drug-applications-nda,,default,0,0,0,open,open,"2024-06-27 16:11:51"
2631,"Enhanced Drug Distribution Security at the Package Level Under the Drug Supply Chain Security Act",,,"2024-06-27 16:11:51",regulatory,https://clinch.loc/regulatory/enhanced-drug-distribution-security-at-the-package-level-under-the-drug-supply-chain-security-act/,,,,,,,,default,USA,"Food and Drug Administration",20240101,Drug,Regulatory,https://www.fda.gov/media/171666/download,publish,1,sagefrog,jillf@sagefrog.com,,,enhanced-drug-distribution-security-at-the-package-level-under-the-drug-supply-chain-security-act,,default,0,0,0,open,open,"2024-06-27 16:11:51"
2632,"Labelling and packaging of medicinal products for human use following agreement of the Windsor Framework",,,"2024-06-27 16:11:51",regulatory,https://clinch.loc/regulatory/labelling-and-packaging-of-medicinal-products-for-human-use-following-agreement-of-the-windsor-framework/,,,,,,,,default,UK,"Medicines and Healthcare products Regulatory Agency",20231231,Drug,Labeling,https://www.gov.uk/government/publications/labelling-and-packaging-of-medicinal-products-for-human-use-following-agreement-of-the-windsor-framework/labelling-and-packaging-of-medicinal-products-for-human-use-following-agreement-of-the-windsor-framework,publish,1,sagefrog,jillf@sagefrog.com,,,labelling-and-packaging-of-medicinal-products-for-human-use-following-agreement-of-the-windsor-framework,,default,0,0,0,open,open,"2024-06-27 16:11:51"
2633,"SOPP 8201: Administrative Processing of Clinical Holds for Investigational New Drug Applications",,,"2024-06-27 16:11:51",regulatory,https://clinch.loc/regulatory/sopp-8201-administrative-processing-of-clinical-holds-for-investigational-new-drug-applications/,,,,,,,,default,USA,"Food and Drug Administration",20231215,Drug,Clinical,https://www.fda.gov/media/88774/download?attachment,publish,1,sagefrog,jillf@sagefrog.com,,,sopp-8201-administrative-processing-of-clinical-holds-for-investigational-new-drug-applications,,default,0,0,0,open,open,"2024-06-27 16:11:51"
2634,"Quality Considerations for Topical Ophthalmic Drug Products (draft guidance)",,,"2024-06-27 16:11:51",regulatory,https://clinch.loc/regulatory/quality-considerations-for-topical-ophthalmic-drug-products-draft-guidance/,,,,,,,,default,USA,"Food and Drug Administration",20231201,Drug,Quality,https://www.fda.gov/media/172937/download,publish,1,sagefrog,jillf@sagefrog.com,,,quality-considerations-for-topical-ophthalmic-drug-products-draft-guidance,,default,0,0,0,open,open,"2024-06-27 16:11:51"
2635,"Falsification of medical devices – Results of European survey",,,"2024-06-27 16:11:51",regulatory,https://clinch.loc/regulatory/falsification-of-medical-devices-results-of-european-survey/,,,,,,,,default,Europe,"European Commission",20231128,"Medical Device",Regulatory,https://www.edqm.eu/en/-/falsification-of-medical-devices-results-of-european-survey,publish,1,sagefrog,jillf@sagefrog.com,,,falsification-of-medical-devices-results-of-european-survey,,default,0,0,0,open,open,"2024-06-27 16:11:51"
2636,"Direct-to-Consumer Prescription Drug Advertisements: Presentation of the Major Statement in a Clear, Conspicuous, and Neutral Manner in Advertisements in Television and Radio Format",,,"2024-06-27 16:11:51",regulatory,https://clinch.loc/regulatory/direct-to-consumer-prescription-drug-advertisements-presentation-of-the-major-statement-in-a-clear-conspicuous-and-neutral-manner-in-advertisements-in-television-and-radio-format/,,,,,,,,default,USA,"Food and Drug Administration",20231121,Drug,Labeling,https://www.federalregister.gov/documents/2023/11/21/2023-25428/direct-to-consumer-prescription-drug-advertisements-presentation-of-the-major-statement-in-a-clear,publish,1,sagefrog,jillf@sagefrog.com,,,direct-to-consumer-prescription-drug-advertisements-presentation-of-the-major-statement-in-a-clear-conspicuous-and-neutral-manner-in-advertisements-in-television-and-radio-format,,default,0,0,0,open,open,"2024-06-27 16:11:51"
2637,"New medicine adverse event search for sponsors",,,"2024-06-27 16:11:51",regulatory,https://clinch.loc/regulatory/new-medicine-adverse-event-search-for-sponsors/,,,,,,,,default,Australia,"Therapeutic Goods Administration",20231120,Drug,Safety,https://www.tga.gov.au/news/news/new-medicine-adverse-event-search-sponsors,publish,1,sagefrog,jillf@sagefrog.com,,,new-medicine-adverse-event-search-for-sponsors,,default,0,0,0,open,open,"2024-06-27 16:11:51"
2638,"Interleukin inhibitors and the possible risk of pancreatitis",,,"2024-06-27 16:11:51",regulatory,https://clinch.loc/regulatory/interleukin-inhibitors-and-the-possible-risk-of-pancreatitis/,,,,,,,,default,"New Zealand","New Zealand Medicines and Medical Devices Safety",20231120,Drug,Safety,https://medsafe.govt.nz/safety/Alerts/Interleukin-Inhibitors-Possible-Risk-Pancreatitis.asp,publish,1,sagefrog,jillf@sagefrog.com,,,interleukin-inhibitors-and-the-possible-risk-of-pancreatitis,,default,0,0,0,open,open,"2024-06-27 16:11:51"
2639,"Assessing the Credibility of Computational Modeling and Simulation in Medical Device Submissions",,,"2024-06-27 16:11:51",regulatory,https://clinch.loc/regulatory/assessing-the-credibility-of-computational-modeling-and-simulation-in-medical-device-submissions/,,,,,,,,default,USA,"Food and Drug Administration",20231117,"Medical Device",Regulatory,https://www.fda.gov/media/154985/download,publish,1,sagefrog,jillf@sagefrog.com,,,assessing-the-credibility-of-computational-modeling-and-simulation-in-medical-device-submissions,,default,0,0,0,open,open,"2024-06-27 16:11:51"
2640,"Notifying FDA of a Permanent Discontinuance or Interruption in Manufacturing of a Device Under Section 506J of the FD&C Act",,,"2024-06-27 16:11:51",regulatory,https://clinch.loc/regulatory/notifying-fda-of-a-permanent-discontinuance-or-interruption-in-manufacturing-of-a-device-under-section-506j-of-the-fdc-act/,,,,,,,,default,USA,"Food and Drug Administration",20231117,"Medical Device",Regulatory,https://www.fda.gov/media/155245/download,publish,1,sagefrog,jillf@sagefrog.com,,,notifying-fda-of-a-permanent-discontinuance-or-interruption-in-manufacturing-of-a-device-under-section-506j-of-the-fdc-act,,default,0,0,0,open,open,"2024-06-27 16:11:51"
2641,"Product-Specific Guidances for Generic Drug Development",,,"2024-06-27 16:11:51",regulatory,https://clinch.loc/regulatory/product-specific-guidances-for-generic-drug-development/,,,,,,,,default,USA,"Food and Drug Administration",20231116,Drug,Regulatory,https://www.accessdata.fda.gov/scripts/cder/psg/index.cfm?utm_medium=email&utm_source=govdelivery,publish,1,sagefrog,jillf@sagefrog.com,,,product-specific-guidances-for-generic-drug-development,,default,0,0,0,open,open,"2024-06-27 16:11:51"
2642,"Modifications to health registration conditions, regulatory simplification strategy",,,"2024-06-27 16:11:51",regulatory,https://clinch.loc/regulatory/modifications-to-health-registration-conditions-regulatory-simplification-strategy/,,,,,,,,default,Mexico,COFEPRIS,20231113,Drug,Regulatory,https://www.gob.mx/cofepris/articulos/modificaciones-a-las-condiciones-de-registro-sanitario-estrategia-de-simplificacion-regulatoria,publish,1,sagefrog,jillf@sagefrog.com,,,modifications-to-health-registration-conditions-regulatory-simplification-strategy,,default,0,0,0,open,open,"2024-06-27 16:11:51"
