id,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured",Categories,Tags,thumbnail_image,_thumbnail_image,"Author Username","Author Email","Author First Name","Author Last Name",Slug,download_file,_download_file
808,"Lorem ipsum dolor sit amet consetetur sadipscing elitr sed diam nonumy eirmod tempor1","Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat.
<h3>Lorem ipsum dolor sit amet consetetur sadips</h3>
Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebumd.

Sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum.
<h3>Dolor sit amet consetetur sadipscing elitrsed</h3>
Sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum.

Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebumd.
<h3>Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore</h3>
Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebumd.

Sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum.",,2021-09-05,post,https://clinchoice.com/?p=808,https://clinchoice.com/wp-content/uploads/2021/09/related-img-1@2x.png,related-img-1@2x.png,/nas/content/live/clinchoice/wp-content/uploads/2021/09/related-img-1@2x.png,806,related-img-1@2x,,,"patient getting diagnosis",https://clinchoice.com/wp-content/uploads/2021/09/related-img-1@2x.png,Uncategorized,,,field_613f553b88646|field_613f553b88646|field_613f553b88646|field_613f553b88646,clinchoice_author,clinchoice_author@clinchoice.com,ClinChoice,,lorem-ipsum-dolor-sit-amet-consetetur-sadipscing-elitr-sed-diam-nonumy-eirmod-tempor1,,field_6179608326425|field_6179608326425|field_6179608326425|field_6179608326425
810,"Lorem ipsum dolor sit amet consetetur sadipscing elitr sed diam nonumy eirmod tempor2","Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat.
<h3>Lorem ipsum dolor sit amet consetetur sadips</h3>
Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebumd.

Sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum.
<h3>Dolor sit amet consetetur sadipscing elitrsed</h3>
Sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum.

Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebumd.
<h3>Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore</h3>
Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebumd.

Sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum.",,2021-09-05,post,https://clinchoice.com/?p=810,https://clinchoice.com/wp-content/uploads/2021/09/related-img-2@2x.png,related-img-2@2x.png,/nas/content/live/clinchoice/wp-content/uploads/2021/09/related-img-2@2x.png,805,related-img-2@2x,,,"scientists working on computer",https://clinchoice.com/wp-content/uploads/2021/09/related-img-2@2x.png,Uncategorized,,,field_613f553b88646|field_613f553b88646|field_613f553b88646|field_613f553b88646,clinchoice_author,clinchoice_author@clinchoice.com,ClinChoice,,lorem-ipsum-dolor-sit-amet-consetetur-sadipscing-elitr-sed-diam-nonumy-eirmod-tempor2,,field_6179608326425|field_6179608326425|field_6179608326425|field_6179608326425
838,Whitepaper,,,2021-10-27,post,https://clinchoice.com/?p=838,,,,,,,,,,Uncategorized,,,field_613f553b88646|field_613f553b88646|field_613f553b88646|field_613f553b88646,clinchoice_author,clinchoice_author@clinchoice.com,ClinChoice,,whitepaper,,field_6179608326425|field_6179608326425|field_6179608326425|field_6179608326425
852,"Cancer Hospital of China Academy of …","This case study shows a real-world example of ClinChoice implementing FSP staff augmentation for a pharmaceutical client.",,2021-10-08,post,https://clinchoice.com/cancer-hospital-of-china-academy-of/,https://clinchoice.com/wp-content/uploads/2021/10/ClinChoice_CaseStudy-2.png,ClinChoice_CaseStudy-2.png,/nas/content/live/clinchoice/wp-content/uploads/2021/10/ClinChoice_CaseStudy-2.png,957,ClinChoice_CaseStudy,,,"Implementing FSP Staff Augmentation for a Pharma Client",https://clinchoice.com/wp-content/uploads/2021/10/ClinChoice_CaseStudy-2.png,"Case Study",,,field_613f553b88646|field_613f553b88646,clinchoice_author,clinchoice_author@clinchoice.com,ClinChoice,,cancer-hospital-of-china-academy-of,850|850,field_6179608326425|field_6179608326425
854,"ClinChoice Opens Canadian Development Center - Expanding its North American Capabilities","ClinChoice Opens Canadian Development Center - Expanding its North American Capabilities

PHILADELPHIA and SHANGHAI, July 22, 2021 /PRNewswire/ -- ClinChoice, a leading global, midsize, and rapidly growing contract research organization (CRO) focused on the delivery of superior quality, highly efficient, and effective clinical research services across the development continuum in Pharmaceutics, Vaccines, Medical Devices, Consumer Products, Cosmetics, and Nutraceuticals announced today it will expand its geographic footprint with the opening of a development center in Greater Toronto, Canada.

The Toronto center will be the newest hub in ClinChoice's global service centers joining existing development centers in The United States, Armenia, China, India, Japan, The Philippines, and The United Kingdom. ClinChoice anticipates delivering clinical operations, safety, regulatory, data management, biostatistics, programming, and medical writing services from its facility in Canada.

""The Toronto center will provide us with additional access to top tier talent with close-proximity to many of our clients. For over 25 years, ClinChoice has provided excellent clinical development services to many biopharmaceutical companies globally. The resources and talents in Canada will join the more than 2200 ClinChoice employees globally and greatly enhance our commitment to delivering quality and efficient research services to facilitate the development of much needed innovative therapies and products to patients as quickly as possible,"" stated, Mr. Ling Zhen, Chairman and Global CEO.

About ClinChoice

ClinChoice is a clinical CRO dedicated to offering high-quality one-stop service to biopharmaceutical, Vaccine, Medical Device, Cosmetics, Nutraceuticals, and Consumer Products clients. These services include Clinical Operations, Project Management, Biostatistics, Data Management, Regulatory Affairs, Pharmacovigilance, Cosmetovigilance, Device Safety Medial Affairs, Medical Writing, toxicology, innovative and AI based IT solutions and implementation, and other product development and registration services. ClinChoice has development centers across the US, Canada, China, Europe, India, Japan, and The Philippines with more than 2200 dedicated professionals globally.",,2021-07-22,post,https://clinchoice.com/clinchoice-opens-canadian-development/,https://clinchoice.com/wp-content/uploads/2021/10/Canadian-1.png,Canadian-1.png,/nas/content/live/clinchoice/wp-content/uploads/2021/10/Canadian-1.png,953,Canadian,,,"ClinChoice Opens Canadian Development Center - Expanding its North American Capabilities",https://clinchoice.com/wp-content/uploads/2021/10/Canadian-1.png,"Press Release",,,field_613f553b88646|field_613f553b88646,clinchoice_author,clinchoice_author@clinchoice.com,ClinChoice,,clinchoice-opens-canadian-development,,field_6179608326425|field_6179608326425
856,"Review of QA on regulations for Custom …","This review explores questions and considerations around custom-made, adaptable, and patient-matched medical devices.",,2021-10-08,post,https://clinchoice.com/review-of-qa-on-regulations-for-custom/,https://clinchoice.com/wp-content/uploads/2021/10/whitepaper-1.png,whitepaper-1.png,/nas/content/live/clinchoice/wp-content/uploads/2021/10/whitepaper-1.png,950,whitepaper,,,"questions and answers on custom-made devices & considerations on adaptable medical devices and patient-matched medical devices",https://clinchoice.com/wp-content/uploads/2021/10/whitepaper-1.png,Whitepaper,,,field_613f553b88646|field_613f553b88646,clinchoice_author,clinchoice_author@clinchoice.com,ClinChoice,,review-of-qa-on-regulations-for-custom,830|830,field_6179608326425|field_6179608326425
933,"The long-awaited roll out of the enhanced …","Lorem ipsum dolor sit amet cons etetur sadipscing elitr, sed diam nonumy eirmod tempor. La Si condum niconvoc, vis atuius coent.",,2021-10-08,post,https://clinchoice.com/?p=933,https://clinchoice.com/wp-content/uploads/2021/10/enhanced-1.png,enhanced-1.png,/nas/content/live/clinchoice/wp-content/uploads/2021/10/enhanced-1.png,958,enhanced,,,"blurred doctors",https://clinchoice.com/wp-content/uploads/2021/10/enhanced-1.png,Uncategorized,,,field_613f553b88646|field_613f553b88646|field_613f553b88646|field_613f553b88646,clinchoice_author,clinchoice_author@clinchoice.com,ClinChoice,,the-long-awaited-roll-out-of-the-enhanced,,field_6179608326425|field_6179608326425|field_6179608326425|field_6179608326425
934,"Drug-Device Combo Development in China","Lorem ipsum dolor sit amet cons etetur sadipscing elitr, sed diam nonumy eirmod tempor. La Si condum niconvoc, vis atuius coent.",,2021-10-08,post,https://clinchoice.com/?p=934,https://clinchoice.com/wp-content/uploads/2021/10/FMD-MockUp-1.png,FMD-MockUp-1.png,/nas/content/live/clinchoice/wp-content/uploads/2021/10/FMD-MockUp-1.png,955,FMD-MockUp,,,"Drug-Device Combo Development in China",https://clinchoice.com/wp-content/uploads/2021/10/FMD-MockUp-1.png,Uncategorized,,,field_613f553b88646|field_613f553b88646|field_613f553b88646|field_613f553b88646,clinchoice_author,clinchoice_author@clinchoice.com,ClinChoice,,drug-device-combo-development-in-china,,field_6179608326425|field_6179608326425|field_6179608326425|field_6179608326425
935,"Answering Questions Surrounding Custom, Adaptable, and Patient-Matched Medical Devices","Technological advancements in manufacturing make it possible for manufacturers to commercially produce <a href=""https://clinchoice.com/custom-made-medical-devices-eu-requirements/"">personalized custom medical devices (CMD)</a> much faster. The advancements, when coupled with regulatory changes, can be confusing. That’s why we’ve created this brief review to help clarify the most critical points within recent European Medical Device Regulation (MDR) updates.

MDR Article 2(3) defines CMDs as any device specifically made per a prescription lawfully provided by a qualified professional, with specific design characteristics to address that particular patient’s condition or needs. Mass-produced devices adapted to meet the requirements of any professional user and mass-produced devices per the written prescription or an authorized person are not considered CMDS.

When it comes to considerations and applications of MDR to custom medical devices, manufacturers should ascertain and apply appropriate regulatory requirements and implement a quality management system commensurate to the type and risk of the device being supplied. Our review further explores post-market surveillance obligations and reports, UDI requirements, and adjacent or intermediary products.

Implementing the new MDR requirements and understanding considerations outlined in the MCDG documents for manufacturers of personalized medical devices is complex and may require additional resources and expertise to manage a product through its lifecycle. The article outlines areas that need focus for registration and continuous compliance:
<ul style=""margin-left: 1.5em;"">
 	<li>Regulatory intelligence</li>
 	<li>Engagement with health authorities and official agencies on behalf of clients in the EU and abroad</li>
 	<li>Medical device call centers and personnel capabilities</li>
 	<li>Incident reporting infrastructure</li>
</ul>
For more details, read the full Review: <a href=""https://clinchoicestag.wpengine.com/wp-content/uploads/2021/06/Review-of-QA-on-regulations-for-Custom-made-Medical-Devices.pdf"" target=""_blank"" rel=""noopener"">Questions and Answers on Custom-Made Devices &amp; Considerations on Adaptable Medical Devices &amp; Patient-Matched Medical Devices.</a>",,2021-10-08,post,https://clinchoice.com/answering-questions-surrounding-custom/,https://clinchoice.com/wp-content/uploads/2021/09/main-img@2x.png|https://clinchoice.com/wp-content/uploads/2021/10/questions-1.png|https://clinchoice.com/wp-content/uploads/2021/10/questions-2.png,main-img@2x.png|questions-1.png|questions-2.png,/nas/content/live/clinchoice/wp-content/uploads/2021/09/main-img@2x.png|/nas/content/live/clinchoice/wp-content/uploads/2021/10/questions-1.png|/nas/content/live/clinchoice/wp-content/uploads/2021/10/questions-2.png,807|927|951,main-img@2x|questions|questions,||,||,"blurred doctors|Answering Questions Surrounding Custom, Adaptable, and Patient-Matched Medical Devices|Answering Questions Surrounding Custom, Adaptable, and Patient-Matched Medical Devices",https://clinchoice.com/wp-content/uploads/2021/09/main-img@2x.png,Blog,,927|927,field_613f553b88646|field_613f553b88646,clinchoice_author,clinchoice_author@clinchoice.com,ClinChoice,,answering-questions-surrounding-custom,,field_6179608326425|field_6179608326425
936,"Tailored Functional Service Whitepaper","This whitepaper examines the characteristics of various FSP models and how they help bring new therapies to market faster and cost-effectively.",,2021-10-08,post,https://clinchoice.com/tailored-functional-service-whitepaper/,https://clinchoice.com/wp-content/uploads/2021/10/AdobeStock_44256743-2.png,AdobeStock_44256743-2.png,/nas/content/live/clinchoice/wp-content/uploads/2021/10/AdobeStock_44256743-2.png,949,AdobeStock_44256743,,,"tailored functional service provider models fill critical gaps and enhance workflows",https://clinchoice.com/wp-content/uploads/2021/10/AdobeStock_44256743-2.png,Whitepaper,,,field_613f553b88646|field_613f553b88646,clinchoice_author,clinchoice_author@clinchoice.com,ClinChoice,,tailored-functional-service-whitepaper,1896|1896,field_6179608326425|field_6179608326425
